Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Front Cover,,,IEEE Signal Processing Letters,23 May 2018,2018,25,6,C1,C1,Presents the front cover for this issue of the publication.,1558-2361,,10.1109/LSP.2018.2829578,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363073,,,,1,,,IEEE,23 May 2018,,,IEEE,IEEE Journals
IEEE Signal Processing Society Editorial Board,,,IEEE Signal Processing Letters,23 May 2018,2018,25,6,C2,C2,"Presents a listing of the editorial board, board of governors, current staff, committee members, and/or society editors for this issue of the publication.",1558-2361,,10.1109/LSP.2018.2829579,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363080,,,,,,,IEEE,23 May 2018,,,IEEE,IEEE Journals
Table of Contents,,,IEEE Signal Processing Letters,23 May 2018,2018,25,6,735,736,Presents the table of contents for this issue of the publication.,1558-2361,,10.1109/LSP.2018.2829580,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363017,,,,,,,IEEE,23 May 2018,,,IEEE,IEEE Journals
Table of Contents [Edics],,,IEEE Signal Processing Letters,23 May 2018,2018,25,6,737,738,Presents the table of contents for this issue of the publication.,1558-2361,,10.1109/LSP.2018.2829581,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363018,,,,,,,IEEE,23 May 2018,,,IEEE,IEEE Journals
Distance-Based Probability Model for Octree Coding,R. L. de Queiroz; D. C. Garcia; P. A. Chou; D. A. Florencio,"Department of Computer Science, Universidade de Brasilia, Brasilia, Brazil; Gama Engineering College, Universidade de Brasilia, Brasilia, Brazil; 8i Labs, Bellevue, WA, USA; Microsoft Research Lab., Redmond, WA, USA",IEEE Signal Processing Letters,24 Apr 2018,2018,25,6,739,742,"We present a context-driven method to encode nodes of an octree, which is typically used to encode the point-cloud geometry. Instead of using one bit per node of the tree, the context allows for deriving probabilities for that node based on distances of the actual voxel to the voxels in a reference point cloud. Accurate probabilities of the node state allow for the use of an arithmetic coder to reduce the bit rate. Results point to potentially large reductions in rate if there is a good model from which to derive the context, i.e., one can get large reductions if the reference-cloud geometry is close enough to the one being encoded.",1558-2361,,10.1109/LSP.2018.2823701,"Conselho Nacional de Desenvolvimento Científico e Tecnológico(grant numbers:308150/2014-7); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8331850,Compression for augmented reality;octree representation;point-cloud compression;3D compression,Three-dimensional displays;Octrees;Encoding;Context modeling;Geometry;Decoding;Electronic mail,,22,,12,IEEE,5 Apr 2018,,,IEEE,IEEE Journals
On Analysis of Active Querying for Recursive State Estimation,A. Koçanaoğulları; D. Erdoğmuş; M. Akçakaya,"Northeastern University, Boston, MA, USA; Northeastern University, Boston, MA, USA; University of Pittsburgh, Pittsburgh, PA, Pennsylvania",IEEE Signal Processing Letters,24 Apr 2018,2018,25,6,743,747,"In stochastic linear/nonlinear active dynamic systems, states are estimated with the evidence through recursive measurements in response to queries of the system about the state to be estimated. Therefore, query selection is essential for such systems to improve state estimation accuracy and time. Query selection is conventionally achieved by minimization of the evidence variance or optimization of various information theoretic objectives. It was shown that optimization of mutual information-based objectives and variance-based objectives arrive at the same solution. However, existing approaches optimize approximations to the intended objectives rather than solving the exact optimization problems. To overcome these shortcomings, we propose an active querying procedure using mutual information maximization in recursive state estimation. First we show that mutual information generalizes variance based query selection methods and show the equivalence between objectives if the evidence likelihoods have unimodal distributions. We then solve the exact optimization problem for query selection and propose a query (measurement) selection algorithm. We specifically formulate the mutual information maximization for query selection as a combinatorial optimization problem and show that the objective is submodular, therefore can be solved efficiently with guaranteed convergence bounds through a greedy approach. Additionally, we analyze the performance of the query selection algorithm by testing it through a brain computer interface (BCI) typing system.",1558-2361,,10.1109/LSP.2018.2823271,"National Science Foundation(grant numbers:IIS-1149570,CNS-1544895,IIS-1715858); Department of Health and Human Services(grant numbers:90RE5017-02-01); National Institutes of Health(grant numbers:R01DC009834); NSF(grant numbers:IIS-1717654); Air Force Office of Scientific Research; Dynamic Data-Driven Applications Systems Program(grant numbers:FA9550-16-1-0386); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8331916,Active querying;mutual information;query selection;recursive state estimation,Optimization;State estimation;Mutual information;Entropy;Stochastic processes;Minimization;Signal processing algorithms,,7,,26,IEEE,5 Apr 2018,,,IEEE,IEEE Journals
Almost Tight Rational Coefficients Biorthogonal Wavelet Filters,D. B. H. Tay; Z. Lin,"School of Information Technology, Deakin University, Waurn Ponds, Victoria, Australia; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",IEEE Signal Processing Letters,25 Apr 2018,2018,25,6,748,752,"Wavelet filters with rational coefficients can be implemented efficiently in digital hardware using simple register shifts and adders. In this letter, a technique to construct biorthogonal filters with rational coefficients is presented. The filters have linear phase and also have very similar characteristics to orthogonal filters, while the latter cannot have linear phase. The frame bound ratio of the filters is very close to unity, i.e., almost tight. The filters are constructed via the lifting scheme with four lifting steps. The perfect reconstruction and the no-dc-leakage properties are preserved with these rational coefficients filters.",1558-2361,,10.1109/LSP.2018.2819971,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8326555,Filter banks;rational coefficients;tight frame;wavelets,Hardware;Complexity theory;Adders;Indexes;Artificial intelligence;Quantization (signal);Transforms,,10,,33,IEEE,27 Mar 2018,,,IEEE,IEEE Journals
Learning an Intrinsic Image Decomposer Using Synthesized RGB-D Dataset,G. Han; X. Xie; J. Lai; W. -S. Zheng,"School of Data and Computer Science, Sun Yat-sen University, and Guangdong Key Laboratory of Information Security Technology, Guangzhou, China; School of Data and Computer Science, Sun Yat-sen University, and Guangdong Key Laboratory of Information Security Technology, Guangzhou, China; School of Data and Computer Science, Sun Yat-sen University, and Guangdong Key Laboratory of Information Security Technology, Guangzhou, China; School of Data and Computer Science, Sun Yat-sen University, and Guangdong Key Laboratory of Information Security Technology, Guangzhou, China",IEEE Signal Processing Letters,25 Apr 2018,2018,25,6,753,757,"Intrinsic image decomposition refers to recover the albedo and shading from images, which is an ill-posed problem in signal processing. As realistic labeled data are severely lacking, it is difficult to apply learning methods in this issue. In this letter, we propose using a synthesized dataset to facilitate the solving of this problem. A physically based renderer is used to generate color images and their underlying ground-truth albedo and shading from three-dimensional models. Additionally, we render a Kinect-like noisy depth map for each instance. We utilize this synthetic dataset to train a deep neural network for intrinsic image decomposition and further fine-tune it for real-world images. Our model supports both RGB and RGB-D as input, and it employs both high-level and low-level features to avoid blurry outputs. Experimental results verify the effectiveness of our model on realistic images.",1558-2361,,10.1109/LSP.2018.2820041,"National Natural Science Foundation of China(grant numbers:61672544); Natural Science Foundation of Guangdong Province(grant numbers:2015A030311047); Shenzhen Innovation Program(grant numbers:JCYJ20150401145529008); Fundamental Research Funds for the Central Universities(grant numbers:161gpy41); Tip-top Scientific and Technical Innovative Youth Talents of Guangdong special support program(grant numbers:2016TQ03X263); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8326532,Deep learning;image decomposition;intrinsic image;RGB-D,Lighting;Image resolution;Image decomposition;Noise measurement;Three-dimensional displays;Training;Cameras,,11,,21,IEEE,27 Mar 2018,,,IEEE,IEEE Journals
"A High-Speed, Real-Time Vision System for Texture Tracking and Thread Counting",Y. Hu; Z. Long; G. AlRegib,"School of Electrical and Computer Engineering, Georgia Institute of Tehcnology, Atlanta, Georgia, USA; School of Electrical and Computer Engineering, Georgia Institute of Tehcnology, Atlanta, Georgia, USA; School of Electrical and Computer Engineering, Georgia Institute of Tehcnology, Atlanta, Georgia, USA",IEEE Signal Processing Letters,25 Apr 2018,2018,25,6,758,762,"In garment manufacturing, an automatic sewing machine is desirable to reduce cost. To accomplish this, a high-speed vision system is required to track fabric motions and recognize repetitive weave patterns with high accuracy, from a microperspective near a sewing zone. In this letter, we present an innovative framework for real-time texture tracking and weave pattern recognition. Our framework includes a module for motion estimation using blob detection and feature matching. It also includes a module for lattice detection to facilitate the weave pattern recognition. Our lattice-detection algorithm utilizes blob detection and template matching to assess pair-wise similarity in blobs' appearance. In addition, it extracts information of dominant orientations to obtain a global constraint in the topology. By incorporating both constraints in the appearance similarity and the global topology, the algorithm determines a lattice that characterizes the topological structure of the repetitive weave pattern, thus allowing for thread counting. In our experiments, the proposed thread-based texture tracking system is capable of tracking denim fabric with high accuracy (e.g., 0.03° rotation and 0.02 weave-thread translation errors) and high speed (3 frames per second), demonstrating its high potential for automatic real-time textile manufacturing.",1558-2361,,10.1109/LSP.2018.2825309,"Walmart Foundation(grant numbers:1806K45); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8334635,Lattice detection;pattern recognition;texture tracking;texture regularity;thread counting,Lattices;Fabrics;Feature extraction;Yarn;Tracking;Weaving;Machine vision,,10,,21,IEEE,10 Apr 2018,,,IEEE,IEEE Journals
Delay–Accuracy Tradeoff in Opportunistic Time-of-Arrival Localization,O. Daniel; H. Wymeersch; J. Nurmi,"Laboratory of Electronics and Communications Engineering, Tampere University of Technology, Tampere, Finland; Department of Electrical Engineering, Chalmers University of Technology, Götenburg, Sweden; Laboratory of Electronics and Communications Engineering, Tampere University of Technology, Tampere, Finland",IEEE Signal Processing Letters,25 Apr 2018,2018,25,6,763,767,"While designing a positioning network, the localization performance is traditionally the main concern. However, collection of measurements together with channel access methods require a nonzero time, causing a delay experienced by network nodes. This fact is usually neglected in the positioning-related literature. In terms of the delay-accuracy tradeoff, broadcast schemes have an advantage over unicast, provided nodes can be properly synchronized. In this letter, we analyze the delay-accuracy tradeoff for localization schemes in which the position estimates are obtained based on broadcasted ranging signals. We find that for dense networks, the tradeoff is the same for cooperative and noncooperative networks, and cannot exceed a certain threshold value.",1558-2361,,10.1109/LSP.2018.2826470,"EU FP7 Marie Curie Initial Training Network MULTI-POS(grant numbers:316528); European Research Council(grant numbers:258418); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8336951,Accuracy;broadcast;delays;localization;time-division multiple access (TDMA),Delays;Distance measurement;Position measurement;Unicast;Synchronization;Time division multiple access,,3,,10,IEEE,12 Apr 2018,,,IEEE,IEEE Journals
