Authors,Author Affiliations,Publication Year,Funding Information,Author Keywords,IEEE Terms
P. Willett,University of Connecticut,2015,,,
W. Yao; Z. Li,"Signal Processing Department, Institute for Infocomm Research, Singapore; Signal Processing Department, Institute for Infocomm Research, Singapore",2015,,Color blending;color correction;mobile panorama;photometric consistency,Image color analysis;Imaging;Image sequences;Mobile handsets;Mobile communication;Signal processing algorithms;Smoothing methods
J. Liu; H. Li; B. Himed,"Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; RYMD, Air Force Research Laboratory, Dayton, OH, USA",2015,Air Force Research Laboratory(grant numbers:FA8650-08-D-1303); ,Adaptive coherence estimator;adaptive detection;adaptive matched filter;generalized likelihood ratio test;Laplace approximation;Rao test,Approximation methods;Accuracy;Noise;Covariance matrices;Training data;Detectors;Coherence
R. Yu; E. A. Ince; A. Hocanin,"Department of Electrical and Electronic Engineering, Eastern Mediterranean University, Gazimagusa, Turkey; Department of Electrical and Electronic Engineering, Eastern Mediterranean University, Gazimagusa, Turkey; Department of Electrical and Electronic Engineering, Eastern Mediterranean University, Gazimagusa, Turkey",2015,,Generalized Kullback-Leibler divergence;multiple signal classification (MUSIC);order estimation;parameter estimation;subspace alignment;subspace separation,Frequency estimation;Vectors;Estimation;Signal to noise ratio;Multiple signal classification;Covariance matrices
C. -C. Su; L. K. Cormack; A. C. Bovik,"Department of Electrical and Computer Engineering, The University of Texas at Austin, Austin, TX, USA; Department of Psychology, The University of Texas, Austin, TX, USA; Department of Electrical and Computer Engineering, The University of Texas at Austin, Austin, TX, USA",2015,"National Science Foundation(grant numbers:IIS-0917175,IIS-1116656); ",Bivariate model;closed-form;natural scene statistics (NSS);spatial-oriented correlation model,Correlation;Joints;Hidden Markov models;Histograms;Computational modeling;Gaussian distribution;Wavelet transforms
F. Raposo; R. Ribeiro; D. M. de Matos,"L2F - INESC ID Lisboa, Lisboa, Portugal; Instituto Universitário de Lisboa (ISCTE-IUL), Lisboa, Portugal; L2F - INESC ID Lisboa, Lisboa, Portugal",2015,Fundação para a Ciência e a Tecnologia(grant numbers:PEst-OE/EEI/LA0021/2014); ,"Automatic music summarization, generic summarization algorithms",Signal processing algorithms;Algorithm design and analysis;Vectors;Speech;Coherence;Hidden Markov models;Multiple signal classification
A. Vosoughi; P. C. Cosman; L. B. Milstein,"Department of Electrical and Computer Engineering, University of California, La Jolla, CA, USA; Department of Electrical and Computer Engineering, University of California, La Jolla, CA, USA; Department of Electrical and Computer Engineering, University of California, La Jolla, CA, USA",2015,National Science Foundation(grant numbers:CCF-1160832); ,3-D video;joint source-channel coding;unequal error protection;video plus depth,Color;Forward error correction;Image color analysis;Three-dimensional displays;Encoding;Error correction codes;Quantization (signal)
C. R. C. Nakagawa; S. Nordholm; W. -Y. Yan,"Dept. of Electr. & Comput. Eng., Curtin Univ., Bentley, WA, Australia; Dept. of Electr. & Comput. Eng., Curtin Univ., Bentley, WA, Australia; Dept. of Electr. & Comput. Eng., Curtin Univ., Bentley, WA, Australia",2015,,Acoustic feedback cancellation;bias problem;dual microphone;two microphone,Microphones;Acoustics;Speech;Loudspeakers;Ear;Correlation;Delays
F. He; S. Wang,"Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China",2015,National High Technology Research and Development Program of China(grant numbers:2012AA011004); National High Technology Research and Development Program of China(grant numbers:2013BAK02B04); ,Boundary detection;logistic function;neural network;RBF kernel;stochastic gradient descent,Measurement;Feature extraction;Kernel;Vectors;Neural networks;Signal processing algorithms;Supervised learning
A. M. Tillmann,"Research Group Optimization at TU Darmstadt, Darmstadt, Germany",2015,,"Compressed sensing;computational complexity;(SAS-MALN, MLSAS-SPARSE) machine learning",Dictionaries;Approximation methods;Signal processing algorithms;Approximation algorithms;Complexity theory;Sparse matrices;Optimization
X. Liu; M. Kosakowski,"TomTom Development Germany GmbH, Berlin, Germany; BlackBerry Deutschland GmbH, Universitätsstraße 140, Bochum, Germany",2015,,Demapper;LLR;max-log-MAP;PAM;QAM,Signal processing algorithms;Complexity theory;Quadrature amplitude modulation;Approximation algorithms;Pragmatics;Approximation methods;Decoding
S. Safavi; U. A. Khan,"Department of Electrical and Computer Engineering, Tufts University, Medford, MA; Department of Electrical and Computer Engineering, Tufts University, Medford, MA",2015,,Average-consensus;distributed algorithms;Eigenvalue multiplicity;finite-time convergence;subspaces,Eigenvalues and eigenfunctions;Topology;Vectors;Distributed algorithms;Matrices;Multi-agent systems;Convergence
M. Naraghi-Pour; E. Soltanmohammadi,"Division of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA; Division of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA",2015,,Distributed networks;social networks;tenor;wireless sensor networks,Wireless sensor networks;Distributed algorithms;Robustness;Signal processing algorithms;Semiconductor device measurement;Sensor phenomena and characterization
R. G. McKilliam; I. V. L. Clarkson; B. G. Quinn,"Institute for Telecommunications Research, The University of South Australia, Adelaide, SA, Australia; School of Information Technology & Electrical Engineering, The University of Queensland, Brisbane, Queensland, Australia; Department of Statistics, Macquarie University, Sydney, New South Wales, Australia",2015,,Fast Fourier Transform;period estimation,Quantization (signal);Chirp;Fast Fourier transforms;Estimation;Least squares approximations;Noise measurement
