Authors,Author Affiliations,Publication Year,Funding Information,Author Keywords,IEEE Terms
J. Zhang; X. Zeng; C. Xu; Y. Liu,"the APRIL Lab, College of Control Science and Engineering, Zhejiang University, Hangzhou, China; the APRIL Lab, College of Control Science and Engineering, Zhejiang University, Hangzhou, China; the APRIL Lab, College of Control Science and Engineering, Zhejiang University, Hangzhou, China; the APRIL Lab, College of Control Science and Engineering, Zhejiang University, Hangzhou, China",2022,National Natural Science Foundation of China(grant numbers:61836015); ,Real-time face reenactment;audio-guided face reenactment;multi-face reenactment;generative adversarial nets,Faces;Task analysis;Head;Training;Real-time systems;Feature extraction;Convolution
F. Zhang; S. Ma; Y. Zhang; Z. Qiu,"Graduate College, Air Force Engineering University, Xi&#x2019;an, China; Aeronautical Engineering College, Air Force Engineering University, Xi&#x2019;an, China; Graduate College, Air Force Engineering University, Xi&#x2019;an, China; Aeronautical Engineering College, Air Force Engineering University, Xi&#x2019;an, China",2022,,Visual tracking;unmanned aerial vehicle;discriminative correlation filter;residual learning,Target tracking;Training;Tracking;Correlation;Feature extraction;Unmanned aerial vehicles;Feedback amplifiers
Y. Sumiya; T. Otsuka; Y. Maeda; N. Fukushima,"Nagoya Institute of Technology, Nagoya, Japan; Nagoya Institute of Technology, Nagoya, Japan; Tokyo University of Science, Tokyo, Japan; Nagoya Institute of Technology, Nagoya, Japan",2022,"JSPS KAKENHI(grant numbers:18K19813,19K24368,21H03465,21K17768); ",Local Laplacian filter;Laplacian pyramid;Fourier series expansion;scale-space,Laplace equations;Image edge detection;Fourier series;Buildings;Standards;Smoothing methods;Licenses
X. Zhang; F. Wang; H. Li,"Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA",2022,National Science Foundation(grant numbers:ECCS-1923739); ,Mono-static sensing;bi-static sensing;multiple targets localization;delay and angle estimation;2-D FFT,Sensors;Delays;Location awareness;Radar;Receiving antennas;Automotive engineering;Radar signal processing
X. Yang; Y. Mei; X. Hu; R. Luo; K. Liu,"College of Electrical Engineering, Sichuan University, Chengdu, China; College of Electrical Engineering, Sichuan University, Chengdu, China; College of Electrical Engineering, Sichuan University, Chengdu, China; College of Electrical Engineering, Sichuan University, Chengdu, China; College of Electrical Engineering, Sichuan University, Chengdu, China",2022,,Deep prior;FFDNet;Low-rank prior;MRI reconstruction;Plug-and-play,Magnetic resonance imaging;Image reconstruction;Noise reduction;Indexes;AWGN;TV;Noise level
S. Hor; M. Pilanci; A. Arbabian,"Electrical Engineering Department, Stanford university, Stanford, CA, USA; Electrical Engineering Department, Stanford university, Stanford, CA, USA; Electrical Engineering Department, Stanford university, Stanford, CA, USA",2022,Semiconductor Research Corporation; Defense Advanced Research Projects Agency; ,Deep neural networks;mm-wave sensing;gait recognition;reinforcement learning,Three-dimensional displays;Q-learning;Program processors;Signal processing algorithms;Dynamic scheduling;Control systems;Sensor systems
J. Yang; Z. Yang; S. Zhang; H. Tu; Y. Huang,"Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; School of Cyber Security, University of Chinese Academy of Sciences, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China",2022,"National Natural Science Foundation of China(grant numbers:U1936216,61862002); ",Linguistic steganalysis;syntactic feature;graph network,Semantics;Syntactics;Feature extraction;Transformers;Linguistics;Steganography;Correlation
Q. Wu; S. Miao; Z. Chai; G. Guo,"Department of Computer Science, Jiangnan University, Wuxi, China; Department of Computer Science, Jiangnan University, Wuxi, China; Department of Computer Science, Jiangnan University, Wuxi, China; Department of Computer Science and Electrical Engineering, West Virginia University, Morgantown, WV, USA",2022,National Natural Science Foundation of China(grant numbers:61972180); ,Adaptive compensation loss;attention;feature fusion;fine-grained image classification;global information,Crops;Feature extraction;Task analysis;Image classification;Mathematical models;Data mining;Classification algorithms
C. Zeng; F. Wang; H. Li; M. A. Govoni,"Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; Army Research Laboratory, Aberdeen Proving Ground, Aberdeen, MD, USA",2022,Army Research Office(grant numbers:W911NF-19-2-0234); National Science Foundation(grant numbers:ECCS-1923739); ,Distributed MIMO radar;probability of detection;transmit delay compensation;non-orthogonal waveforms,Manganese;Delays;MIMO radar;Object detection;Doppler effect;Search problems;Detectors
G. Li; L. Li; J. Zhang,"College of Intelligence and Computing, Tianjin University, Tianjin, China; College of Intelligence and Computing, Tianjin University, Tianjin, China; College of Intelligence and Computing, Tianjin University, Tianjin, China",2022,,Image segmentation;machine learning;real-time semantic segmentation,Convolution;Semantics;Image segmentation;Tensors;Testing;Spatial filters;Real-time systems
