Authors,Author Affiliations,Publication Year,Funding Information,Author Keywords,IEEE Terms
J. Yao; X. Chen; X. -L. Zhang; W. -Q. Zhang; K. Yang,"School of Marine Science and Technology, Northwestern Polytechnical University, Xi'an, China; School of Marine Science and Technology, Northwestern Polytechnical University, Xi'an, China; School of Marine Science and Technology, Northwestern Polytechnical University, Xi'an, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Ocean Institute of Northwestern Polytechnical University, Xi'an, China",2023,"National Natural Science Foundation of China(grant numbers:62176211); Project of the Science, Technology, and Innovation Commission of Shenzhen Municipality, China(grant numbers:JCYJ20210324143006016,JSGG20210802152546026); ",Adversarial attack;speaker identification;saliency map decoder;angular loss,Signal to noise ratio;Perturbation methods;Decoding;Open systems;Convolution;Task analysis;Speech recognition
C. Huang; X. Pan; J. Cheng; J. Song,"Institute of Optics and Electronics, Beihang University, Beijing, China; Institute of Optics and Electronics, Beihang University, Beijing, China; Institute of Optics and Electronics, Beihang University, Beijing, China; Institute of Optics and Electronics, Beihang University, Beijing, China",2023,Beijing Natural Science Foundation(grant numbers:L211014); ,Homography estimation;image matching;depth-aware homography;pixel-wise image registration,Image registration;Estimation;Cameras;Training;Signal processing algorithms;Optimization;Mathematical models
J. Zhang; Y. He; S. Wang,"School of Computer and Communication Engineering, Changsha University of Science and Technology, Changsha, China; School of Computer and Communication Engineering, Changsha University of Science and Technology, Changsha, China; School of Computer and Communication Engineering, Changsha University of Science and Technology, Changsha, China",2023,National Natural Science Foundation of China(grant numbers:61972056); Postgraduate Scientific Research Innovation Fund of Changsha University of Science and Technology(grant numbers:CX2021SS70); ,Visual object tracking;discriminative correlation filter;elastic net regression,Mathematical models;Target tracking;Optimization;Adaptation models;Feature extraction;Correlation;Computational modeling
Q. Xu; R. Zhang; J. Liu,"School of Cyberspace Security, Beijing University of Posts and Telecommunications, Beijing, China; School of Cyberspace Security, Beijing University of Posts and Telecommunications, Beijing, China; School of Cyberspace Security, Beijing University of Posts and Telecommunications, Beijing, China",2023,"National Natural Science Foundation of China(grant numbers:U21B2020,U1936216); ",Linguistic steganalysis;feature enhancement;local semantic feature;global long-term dependencies,Feature extraction;Semantics;Steganography;Linguistics;Field-flow fractionation;Convolution;Classification algorithms
L. -J. Xie,"School of Mathematics and Statistics, Ningbo University, Ningbo, China",2023,National Natural Science Foundation of China(grant numbers:62071262); Ningbo University; ,Compressed sensing;iterative hard thresholding;hard thresholding pursuit;restricted isometry constant;sparse recovery algorithm,Signal processing algorithms;Sensors;Indexes;Partitioning algorithms;Linear systems;Iterative algorithms;Compressed sensing
Y. Liu; Y. Fan; Z. Guo; A. Zaman; S. Liu,"School of Electronics and Information, Northwestern Polytechnical University, Xian, China; School of Electronics and Information, Northwestern Polytechnical University, Xian, China; School of Electronics and Information, Northwestern Polytechnical University, Xian, China; School of Electronics and Information, Northwestern Polytechnical University, Xian, China; Content Production Center of Virtual Reality, Beijing, China",2023,"National Natural Science Foundation of China(grant numbers:62071384); Key Program of Research and Development Plan of Shaanxi Province(grant numbers:2020ZDLGY04-09,2023YBGY-239); ",3D face reconstruction;face-and-head model;3D morphable model;face texture completion;renderer,Faces;Solid modeling;Three-dimensional displays;Face recognition;Image reconstruction;Shape;Rendering (computer graphics)
S. Wandale; K. Ichige,"Department of Electrical and Computer Engineering, Yokohama National University, Yokohama, Japan; Department of Electrical and Computer Engineering, Yokohama National University, Yokohama, Japan",2023,Japan Society for the Promotion of Science(grant numbers:20K04500); ,Sparse arrays;GENAMS arrays;degrees-of-freedom;mutual coupling;direction-of-arrival estimation,Sensor arrays;Mutual coupling;Direction-of-arrival estimation;Array signal processing;Symmetric matrices;Manifolds;Estimation
L. Li; W. Zhang; M. Barni,"School of Communication and Information Engineering, Shanghai University, Shanghai, China; CAS Key Laboratory of Electro-Magnetic Space Information, University of Science and Technology of China, Hefei, China; Departmen of Information Engineering and Mathematics, University of Siena, Via Roma, Siena, Italy",2023,"China Scholarship Council(grant numbers:202006340042); National Natural Science Foundation of China(grant numbers:U20B2047,U1936214,62102386,62002334); Science and Technology Commission of Shanghai Municipality(grant numbers:2101050020); ",DNN Watermarking;Blackbox watermarking;multi-bit watermarking;key-image-free watermarking,Watermarking;Closed box;Training;Decoding;Payloads;Task analysis;Neural networks
D. P. Herrera; Z. Chen; E. G. Larsson,"Department of Electrical Engineering, Linköping University, Linköping, Sweden; Department of Electrical Engineering, Linköping University, Linköping, Sweden; Department of Electrical Engineering, Linköping University, Linköping, Sweden",2023,Zenith; Excellence Center at Linköping - Lund in Information Technology; Knut och Alice Wallenbergs Stiftelse; ,Average consensus;broadcast transmission;scheduling;wireless networks,Convergence;Broadcasting;Probabilistic logic;Wireless networks;Signal processing algorithms;Topology;Consensus algorithm
N. Sanmartín-Vich; J. Calpe; F. Pla,"Analog Devices Inc., València, Spain; Analog Devices Inc., València, Spain; Universitat Jaume I, Castelló de la Plana, Spain",2023,"Analog Devices, Inc.; Ministerio de Ciencia e Innovación(grant numbers:DIN2021-011805); ",3D imaging;time-of-flight;shot noise,Discrete Fourier transforms;Delays;Cameras;Reactive power;Clocks;Time-domain analysis;Photonics
