Authors,Author Affiliations,Publication Year,Funding Information,Author Keywords,IEEE Terms
L. Tang; Y. Han; L. Yuan; G. Zhai,"School of Information Science and Technology, Beijing University of Chemical Technology, Beijing, China; School of Information Science and Technology, Beijing University of Chemical Technology, Beijing, China; ICCI and the Institute of Image Communication and Information Processing, Shanghai Jiao Tong University, Shanghai, China; ICCI and the Institute of Image Communication and Information Processing, Shanghai Jiao Tong University, Shanghai, China",2025,National Natural Science Foundation of China(grant numbers:52275003); National Key Research and Development Program of China(grant numbers:2023YFB4704000); ,Blind image quality assessment;feature pyramid network;spatial selection module,Feature extraction;Image quality;Convolution;Distortion;Residual neural networks;Computational modeling;Interpolation;Filters;Transformers;Training
Y. Tan; Y. Chen; J. Wang,"Institute of Automation, Chinese Academy of Sciences, Beijing, China; Institute of Automation, Chinese Academy of Sciences, Beijing, China; Institute of Automation, Chinese Academy of Sciences, Beijing, China",2025,Strategic Priority Research Program of the Chinese Academy of Sciences(grant numbers:XDA27030600); ,Visual question-answering;multimodal information;sence-text understanding,Optical character recognition;Training;Visualization;Feature extraction;Transformers;Text recognition;Contrastive learning;Belts;Predictive models;Decoding
Y. Ding; C. Minkler; Y. D. Zhang; D. Shen; K. Pham,"Department of Electrical and Computer Engineering, Wichita State University, Wichita, KS, USA; Department of Electrical and Computer Engineering, Wichita State University, Wichita, KS, USA; Department of Electrical and Computer Engineering, Temple University, Philadelphia, PA, USA; Intelligent Fusion Technology, Inc., Germantown, MD, USA; Space Vehicles Directorate, Air Force Research Laboratory, Kirtland AFB, NM, USA",2025,Air Force Research Laboratory(grant numbers:FA9453-22-C-A127); ,Electromagnetic interference;single-satellite geolocation;constrained unscented Kalman filter;Doppler frequency;Doppler acceleration,Doppler effect;Satellites;Electromagnetic interference;Three-dimensional displays;Geology;Vectors;Kalman filters;Earth;Accelerometers;Time-frequency analysis
P. -J. Bénard; Y. Traonmilin; J. -F. Aujol,"CNRS, Univ. Bordeaux, Bordeaux INP, CNRS, IMB, UMR 5251, Talence, France; CNRS, Univ. Bordeaux, Bordeaux INP, CNRS, IMB, UMR 5251, Talence, France; CNRS, Univ. Bordeaux, Bordeaux INP, CNRS, IMB, UMR 5251, Talence, France",2025,Agence Nationale de la Recherche(grant numbers:ANR-20-CE40-0001); ,Non-convex optimization;spike super-resolution;sketching,Microscopy;Position measurement;Fourier transforms;Matching pursuit algorithms;Time measurement;Superresolution;Particle measurements;Frequency measurement;Context modeling;Atmospheric measurements
Y. Chen; X. Wang; Z. Huang,"State Key Laboratory of Complex Electromagnetic Environment Effects on Electronics and Information System, National University of Defense Technology, Changsha, China; State Key Laboratory of Complex Electromagnetic Environment Effects on Electronics and Information System, National University of Defense Technology, Changsha, China; State Key Laboratory of Complex Electromagnetic Environment Effects on Electronics and Information System, National University of Defense Technology, Changsha, China",2025,National Natural Science Foundation of China(grant numbers:62271494); ,Automatic modulation recognition;knowledge and data joint-driven learning;zero-shot learning;graph neural networks,Semantics;Modulation;Training;Symmetric matrices;Vectors;Zero shot learning;Symbols;Visualization;Receivers;Laboratories
H. Lee; J. W. Yoon; S. Kim; N. S. Kim,"XL8 Inc., Seoul, Republic of Korea; Department of Artificial Intelligence, Chung-Ang University, Seoul, Republic of Korea; Institute of New Media and Communications, Department of Electrical and Computer Engineering, Seoul National University, Seoul, Republic of Korea; Institute of New Media and Communications, Department of Electrical and Computer Engineering, Seoul National University, Seoul, Republic of Korea",2025,Commercializations Promotion Agency for R and D Outcomes; Korea Government(grant numbers:RS2023-00235082); Institute of Information & Communications Technology Planning & Evaluation; Korea Government(grant numbers:2021-0-01341); Artificial Intelligence Graduate School Program; ,RNN-transducer (RNN-T);transducer neural network;automatic speech recognition (ASR);streaming ASR,Transducers;Training;Accuracy;Neural networks;Deformable models;Mathematical models;Context modeling;Bayes methods;Maximum likelihood estimation;Dynamic programming
N. Guo; B. Edler,"International Audio Laboratories Erlangen, a joint institution of Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU) and Fraunhofer Institute of Integrated Circuits, IIS, Erlangen, Germany; International Audio Laboratories Erlangen, a joint institution of Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU) and Fraunhofer Institute of Integrated Circuits, IIS, Erlangen, Germany",2025,,Long term prediction;time varying pitch;audio coding;FDJHP,Harmonic analysis;Transforms;Time-frequency analysis;Prediction algorithms;Audio coding;Speech coding;Signal processing algorithms;Time-domain analysis;Mathematical models;Chirp
Y. Wang; H. Li; L. Zhang; Y. Hu; A. C. Kot,"Rapid-Rich Object Search (ROSE) Lab, Nanyang Technological University, Singapore; Department of Electrical Engineering, City University of Hong Kong, Kowloon Tong, Hong Kong; GRGTally-vision I.T. Company, Ltd., Guangzhou, China; South China University of Technology, Guangzhou, China; Rapid-Rich Object Search (ROSE) Lab, Nanyang Technological University, Singapore",2025,NTU-PKU Joint Research Institute; Nanyang Technological University; Ng Teng Fong Charitable Foundation; Science and Technology Foundation of Guangzhou Huangpu Development District(grant numbers:2022GH15); ,Clean-label black-box attack;evolutionary computing;face recognition/verification;rolling shutter,Face recognition;Light emitting diodes;Image color analysis;Faces;Face detection;Data models;Computational modeling;Closed box;Web sites;Video on demand
J. Wang; M. N. E. Korso; L. Bacharach; P. Larzabal,"SATIE, Université Paris-Saclay, Gif-sur-Yvette, France; L2S, Université Paris-Saclay, Gif-sur-Yvette, France; SATIE, Université Paris-Saclay, Gif-sur-Yvette, France; SATIE, Université Paris-Saclay, Gif-sur-Yvette, France",2025,,Antenna array processing;Barankin bound;Cramér–Rao bound;EM algorithm;interferometric array,Imaging;Switches;Antennas;Computational modeling;Antenna arrays;Vectors;Signal processing algorithms;Radio interferometry;Correlation;Computational complexity
Q. Xie; F. Wen; X. Xie; Z. Wang; X. Pan,"State Key Laboratory of Complex Electromagnetic Environment Effects on Electronics and Information System, National University of Defense Technology, Changsha, China; Institute of Vehicle Information Control and Network Technology, Hubei University of Automotive Technology, Shiyan, China; State Key Laboratory of Complex Electromagnetic Environment Effects on Electronics and Information System, National University of Defense Technology, Changsha, China; State Key Laboratory of Complex Electromagnetic Environment Effects on Electronics and Information System, National University of Defense Technology, Changsha, China; State Key Laboratory of Complex Electromagnetic Environment Effects on Electronics and Information System, National University of Defense Technology, Changsha, China",2025,National Natural Science Foundation of China(grant numbers:62301580); China Postdoctoral Science Foundation(grant numbers:2022M723917); ,Bistatic MIMO radar;coarray tensor;angle parameter estimation;tensor train decomposition (TTD);TT-SVD algorithm,Tensors;MIMO radar;Transmission line matrix methods;Matrix decomposition;Vectors;Planar arrays;Estimation;Covariance matrices;Location awareness;Geometry
