Authors,Author Affiliations,Publication Year,Funding Information,Author Keywords,IEEE Terms
J. Liu; X. Wu; W. J. Emery; L. Zhang; C. Li; K. Ma,"School of Electronic Information, Wuhan University, Wuhan, China; School of Electronic Information, Wuhan University, Wuhan, China; Department of Aerospace Engineering Sciences, University of Colorado, Boulder, CO, USA; School of Electronic Information, Wuhan University, Wuhan, China; School of Electronic Information, Wuhan University, Wuhan, China; School of Electronic Information, Wuhan University, Wuhan, China",2017,863 High Technology Project of China(grant numbers:2012AA091701); National Natural Science Foundation of China(grant numbers:61401316); China Scholarship Council(grant numbers:201506270074); ,Array calibration;directions-of-arrival (DOA) estimation;joint approximation and diagonalization of eigenmatrices (JADE),Direction-of-arrival estimation;Sensor arrays;Estimation;Array signal processing;Signal processing algorithms;Calibration;Covariance matrices
Z. Yuan; C. Zhang; Z. Wang; Q. Guo; J. Xi,"Zhengzhou Institute of Information Science and Technology, Zhengzhou, China; School of Information Engineering, Zhengzhou University, Zhengzhou, China; School of Information Engineering, Zhengzhou University, Zhengzhou, China; School of Electrical, Computer and Telecommunications Engineering, University of Wollongong, Wollongong, NSW, Australia; School of Electrical, Computer and Telecommunications Engineering, University of Wollongong, Wollongong, NSW, Australia",2017,"National Natural Science Foundation of China(grant numbers:NSFC 61571402,NSFC 61201251,NSFC U1204607); Australian Research Council's DECRA(grant numbers:DE120101266); ",Belief propagation (BP);expectation propagation (EP);iterative receiver;mean field (MF);MIMO-OFDM,Message passing;Complexity theory;Manganese;Channel estimation;Receiving antennas;Decoding
Z. Utkovski; O. Simeone; T. Dimitrova; P. Popovski,"Department of Signal Theory and Communications, University Carlos III of Madrid, Madrid, Spain; Center for Wireless Information Processing, New Jersey Institute of Technology, Newark, NJ, USA; Laboratory for Complex Systems and Networks, Macedonian Academy of Sciences and Arts, Skopje, Macedonia; Department of Electronic Systems, Aalborg University, Aalborg, Denmark",2017,German Research Society (DFG)(grant numbers:659/13-1); U.S. National Science Foundation(grant numbers:CCF-1525629); Danish Council for Independent Research; Fulbright Commission; ,C-RAN;fronthaul limitations;random access,Fading channels;Quantization (signal);Baseband;Cloud computing;Standards;Bayes methods;Time-frequency analysis
Y. He; Z. Qu; C. Gao; N. Sang,"National Key Laboratory of Science and Technology on Multi-spectral Information Processing, School of Automation, Huazhong University of Science and Technology, Wuhan, China; Air Force Early Warning Academy, Wuhan, China; National Key Laboratory of Science and Technology on Multi-spectral Information Processing, School of Automation, Huazhong University of Science and Technology, Wuhan, China; National Key Laboratory of Science and Technology on Multi-spectral Information Processing, School of Automation, Huazhong University of Science and Technology, Wuhan, China",2017,"National Natural Science Foundation of China(grant numbers:61401504,61401170); China Postdoctoral Science Foundation(grant numbers:2014M562562); ",Online tube rearrangement;potential collision graph (PCG);video synopsis,Electron tubes;Surveillance;Optimization;Computational complexity;Indexes;Estimation;Information processing
W. Li; X. Wang; B. Moran,"Data61/CSIRO, Canberra, ACT, Australia; School of Electrical and Computer Engineering, RMIT University, Melbourne, Australia; School of Electrical and Computer Engineering, RMIT University, Melbourne, Australia",2017,US Air Force Office of Scientific Research(grant numbers:FA9550-12-1-0418); ,Distance estimation;lattice theory;phase ambiguity,Lattices;Estimation;Phase measurement;Cathode ray tubes;Bandwidth;Wavelength measurement;Australia
M. Sadeghi; M. Babaie-Zadeh,"Electrical Engineering Department, Sharif University of Technology, Tehran, Iran; Electrical Engineering Department, Sharif University of Technology, Tehran, Iran",2017,Center for International Scientific Studies and Collaboration (CISSC); ,Equiangular tight-frames (ETFs);incoherent frame design;mutual coherence;proximal algorithms,Algorithm design and analysis;Signal processing algorithms;Coherence;Minimization;Convex functions;Symmetric matrices;Cost function
J. Ren; X. Jiang; J. Yuan,"School of Electrical & Electronics Engineering, Nanyang Technological University, Singapore; School of Electrical & Electronics Engineering, Nanyang Technological University, Singapore; School of Electrical & Electronics Engineering, Nanyang Technological University, Singapore",2017,Singapore Future Systems and Technology Directorate (FSTD)(grant numbers:MINDEF-NTU-DIRP/2014/01); ,Local binary pattern (LBP)-structure optimization;scene classification;structural regularization;symmetry constraint;uniformity constraint,Feature extraction;Training;Quadratic programming;Symmetric matrices;Linear programming;Pattern recognition
J. P. F. Guimarães; A. I. R. Fontes; J. B. A. Rego; A. de M. Martins; J. C. Príncipe,"Federal Institute of Rio Grande do Norte, Natal, Brazil; Federal Institute of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; University of Florida, Gainesville, FL, USA",2017,,Complex-valued data;correntropy;fixed-point (FP) algorithm;maximum complex correntropy criterion (MCCC),Kernel;Random variables;Mathematical model;Probabilistic logic;Signal processing algorithms;Cost function;Correlation
J. Dai; X. Bao; W. Xu; C. Chang,"National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; Department of Telecommunication Engineering, Jiangsu University, Zhenjiang, China; Department of Automatic Control, Guangdong University of Technology, Guangzhou, China; School of Biomedical Engineering, Shenzhen University, Shenzhen, China",2017,"National Natural Science Foundation of China (NSFC)(grant numbers:61571211); Open Research Fund of National Mobile Communications Research Laboratory, Southeast University(grant numbers:2013D08); NSFC(grant numbers:61502210); NSFC(grant numbers:61271380); Guangdong Natural Science Foundation(grant numbers:2014A030313515); ",Direction-of-arrival (DOA);polynomial root;sparse Bayesian learning (SBL);sparse representation,Direction-of-arrival estimation;Estimation;Bayes methods;Computational modeling;Electronic mail;Signal processing algorithms;Mobile communication
W. Kim,"Department of Electronics Engineering, Konkuk University, Seoul, Korea",2017,Konkuk University; ,A novel image descriptor;dominant direction;fingerprint liveness detection;image gradient field;local coherence patterns (LCP),Coherence;Histograms;Feature extraction;Fabrication;Dispersion;Noise measurement;Standards
