Authors,Author Affiliations,Publication Year,Funding Information,Author Keywords,IEEE Terms
G. Zucatelli; R. Coelho,"Laboratory of Acoustic Signal Processing (lasp.ime.eb.br), Military Institute of Engineering (IME), Rio de Janeiro, Brazil; Laboratory of Acoustic Signal Processing (lasp.ime.eb.br), Military Institute of Engineering (IME), Rio de Janeiro, Brazil",2020,National Council for Scientific and Technological Development(grant numbers:307866); Fundação de Amparo Pesquisa do Estado do Rio de Janeiro(grant numbers:203075); Coordenação de Aperfeiçoamento de Pessoal de Nível Superior(grant numbers:001); ,Reverberation;absorption;non-stationarity;intelligibility,Absorption;Reverberation;Noise measurement;Distortion measurement;Acoustic distortion;Acoustic measurements
S. S. Moghadasian; S. Gazor,"Department of Electrical Engineering, Behbahan Khatam Alanbia University of Technology, Behbahan, Iran; Department of Electrical and Computer Engineering, Queens University, Canada",2020,Natural Sciences and Engineering Research Council of Canada; ,Ambiguity;localization;sparsity;chirp,Time-frequency analysis;Market research;Signal resolution;Fourier transforms;Simulation
M. N. Akbar; M. Saquib,"Northeastern University, Boston, MA, USA; Department of Electrical Engineering, The University of Texas at Dallas, Richardson, TX, USA",2020,,Real-only equalizer (ROE);widely linear equal-izer (WLE);adaptive equalization;computational complexity,Equalizers;Correlation;Complexity theory;Receivers;Impedance matching;Quadrature amplitude modulation;Bit error rate
Y. Li; Q. He; R. S. Blum,"University of Electronic Science and Technology of China, Chengdu, China; University of Electronic Science and Technology of China, Chengdu, China; Lehigh University, Bethlehem, PA, USA",2020,"National Natural Science Foundation of China(grant numbers:61571091,61371184); Huo Yingdong Education Foundation(grant numbers:161097); National Science Foundation(grant numbers:ECCS-1744129,CNS-1702555); ",Product of correlated complex Gaussian random variables;joint probability density function;non-zero means and arbitrary variances,Random variables;Probability density function;Finite wordlength effects;Covariance matrices;Communication systems;Radar applications
L. Sun; Y. Wang,"Department of Information and Communications Engineering, Xi’an Jiaotong University, Xi’an, China; Department of Information and Communications Engineering, Xi’an Jiaotong University, Xi’an, China",2020,National Natural Science Foundation of China(grant numbers:61671369); Key Research and Development Program of Shaanxi Province(grant numbers:2018KW-019); ,Sequence detection;deep-learning;recurrent neural networks;molecular communications,Artificial neural networks;Detectors;Computer architecture;Communication systems;Recurrent neural networks;Chemicals;Signal detection
S. -W. Fu; C. -F. Liao; Y. Tsao,"Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan; College of Electrical Engineering and Computer Science, National Taiwan University, Taipei, Taiwan; Research Center for Information Technology Innovation, Academia Sinica, Taipei, Taiwan",2020,,Perception optimization;PESQ;speech enhancement;speech quality assessment,Speech enhancement;Training;Spectrogram;Linear programming;Data models;Training data;Signal to noise ratio
Y. Song; Z. Ou,"Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China",2020,National Natural Science Foundation of China(grant numbers:61976122); ,Semi-supervised learning;seq2seq;semantic parsing;joint stochastic approximation;variational auto-encoder,Semantics;Task analysis;Decoding;Natural language processing;Training;Semisupervised learning
J. Lim; H. -S. Kim; H. -M. Park,"Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA; Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA; Department of Electronic Engineering, Sogang University, Seoul, South Korea",2020,"National Research Foundation of Korea; Ministry of Education(grant numbers:NRF-2016R1D1A1A09918304,NRF-2019R1I1A1A01058976); ",IMM-EKF;minimax;particle filtering;maneuvering;multiple-constant-turns (MCT) model;Markovian switching structure,Computational modeling;Atmospheric measurements;Particle measurements;Noise measurement;Weight measurement;Signal processing algorithms;Filtering
J. Xu; Q. Li; J. Wang,"College of Internet of Things Engineering, Hohai University, Changzhou, China; College of Internet of Things Engineering, Hohai University, Changzhou, China; College of Internet of Things Engineering, Hohai University, Changzhou, China",2020,National Key Research and Development Program of China Stem Cell and Translational Research(grant numbers:2018YFC0406903); National Natural Science Foundation of China(grant numbers:U1830105); ,Non-blind deblurring;multiple norms;non-negativity constraint;artifacts processing;Markov chain Monte Carlo,Uncertainty;Kernel;Approximation algorithms;Image restoration;Closed-form solutions;Signal processing algorithms;Image reconstruction
Y. El-Laham; M. F. Bugallo,"Department of Electrical & Computer Engineering, Stony Brook University, Stony Brook, NY, USA; Department of Electrical & Computer Engineering, Stony Brook University, Stony Brook, NY, USA",2020,National Science Foundation(grant numbers:CCF-1617986); Research Computing and Cyberinfrastructure; Stony Brook University; NSF(grant numbers:OAC-1531492); ,,Proposals;Monte Carlo methods;Sociology;Standards;Artificial intelligence;Optimization
