Authors,Author Affiliations,Publication Year,Funding Information,Author Keywords,IEEE Terms
P. Willett,University of Connecticut,2016,,,
R. Tavares; R. Coelho,"Laboratory of Acoustic Signal Processing, Military Institute of Engineering (IME), Rio de Janeiro, RJ, Brazil; Laboratory of Acoustic Signal Processing, Military Institute of Engineering (IME), Rio de Janeiro, RJ, Brazil",2016,,Index of nonstationarity;robust estimation;speech enhancement,Noise;Speech;Speech enhancement;Standards;Acoustic noise;Noise measurement;Estimation
K. Li; B. Yan; W. Wang; H. Gharavi,"School of Computer Science, Fudan University, Shanghai, China; School of Computer Science, Fudan University, Shanghai, China; School of Computer Science, Fudan University, Shanghai, China; National Institute of Standards and Technology, Gaithersburg, MD, USA",2016,"National Natural Science Foundation of China(grant numbers:61370158,61522202); ",Seam carving;video surveillance;video synopsis,Electron tubes;Surveillance;Optical distortion;Optical imaging;Object tracking;Optical signal processing
A. P. Bates; Z. Khalid; R. A. Kennedy,"College of Engineering and Computer Science, The Australian National University, Canberra, Australia; Department of Electrical Engineering, Lahore University of Management Sciences, Lahore, Pakistan; College of Engineering and Computer Science, The Australian National University, Canberra, Australia",2016,Australian Research Council(grant numbers:DP150101011); ,Antipodal signal;diffusion magnetic resonance imaging;sampling;sphere;spherical harmonic transform,Harmonic analysis;Spectral analysis;Transforms;Image reconstruction;Antipodal signal;Magnetic resonance imaging
Z. Xu; C. Ao; B. Huang,"School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, China; School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, China; School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, China",2016,National Natural Science Foundation of China(grant numbers:61501195); ,Audio watermarking;channel capacity;multiple orthogonal sequence spread spectrum,Watermarking;Channel capacity;Error probability;Distortion;Optimized production technology;Interference;Decoding
A. Moshtaghpour; L. Jacques; V. Cambareri; K. Degraux; C. De Vleeschouwer,"ELEN Department, Université catholique de Louvain (UCL), Louvain-la-Neuve, Belgium; ELEN Department, Université catholique de Louvain (UCL), Louvain-la-Neuve, Belgium; ELEN Department, Université catholique de Louvain (UCL), Louvain-la-Neuve, Belgium; ELEN Department, Université catholique de Louvain (UCL), Louvain-la-Neuve, Belgium; ELEN Department, Université catholique de Louvain (UCL), Louvain-la-Neuve, Belgium",2016,Walloon Region of Belgium; Fonds De La Recherche Scientifique - FNRS; ,Consistency;error decay;low-rank;quantization;quantized compressed sensing;sparsity,Quantization (signal);Compressed sensing;Sensors;Sparse matrices;Complexity theory;Estimation;Nonlinear distortion
L. Xiao; P. Yang; Y. Xiao; J. Liu; S. Fan; B. Dong; S. Li,"National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China, Chengdu, China; National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China, Chengdu, China; National Mobile Communications Research Laboratory, Southeast University, Chengdu, China; National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China, Chengdu, China; National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China, Chengdu, China; National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China, Chengdu, China; National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China, Chengdu, China",2016,the Fundamental Research Funds for the Central Universities(grant numbers:ZYGX2015KYQD003); the open research fund of National Mobile Communications Research Laboratory Southeast University(grant numbers:2013D05); National Science Foundation of China(grant numbers:61501095); the program for Sichuan Youth Science and Technology Fund(grant numbers:2012JQ0020); the National HighTech RD Program of China(grant numbers:2014AA01A707); ,Generalized spatial modulation (GSM);multi-input multi-output (MIMO);soft-input soft-output,GSM;Detectors;Complexity theory;Measurement;Indexes;MIMO;Signal processing algorithms
W. -H. Fang; Y. -C. Lee; Y. -T. Chen,"Department of Electronic and Computer Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan; Department of Electronic and Computer Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan; Department of Electronic and Computer Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan",2016,"Ministry of Science and Technology(grant numbers:102-2221-E-011-016-MY2,103-2221-E-011-117); ",Filtering;importance sampling;maximum likelihood;multidimensional harmonic retrieval,Maximum likelihood estimation;Signal processing algorithms;Monte Carlo methods;Harmonic analysis;Source separation;Signal to noise ratio
Y. Xu; J. Wang; H. Li; Y. Li; Z. Miao; Y. Zhang,"College of Command Information Systems, PLA University of Science and Technology (PLAUST), Nanjing, China; College of Command Information Systems, PLA University of Science and Technology (PLAUST), Nanjing, China; College of Command Information Systems, PLA University of Science and Technology (PLAUST), Nanjing, China; College of Command Information Systems, PLA University of Science and Technology (PLAUST), Nanjing, China; College of Command Information Systems, PLA University of Science and Technology (PLAUST), Nanjing, China; College of Command Information Systems, PLA University of Science and Technology (PLAUST), Nanjing, China",2016,"Jiangsu Provincial Nature Science Foundation of China(grant numbers:BK2012512,BK20140071); National Natural Science Foundation of China(grant numbers:61402519); ",Correlation filter;real-time visual tracking;scale calculation,Target tracking;Robustness;Image color analysis;Real-time systems;Correlation;Kernel;Visualization
D. K. Panda; S. Meher,"Department of Electronics and Communication Engineering, National Institute of Technology Rourkela, Rourkela, Odisha, India; Department of Electronics and Communication Engineering, National Institute of Technology Rourkela, Rourkela, Odisha, India",2016,,Background subtraction;camouflage;color difference histogram;fuzzy c-means clustering;illumination variation;moving object detection;non-stationary background,Histograms;Signal processing algorithms;Color;Image color analysis;Lighting;Robustness;Clustering algorithms
