"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"[Front cover]","",,IEEE Signal Processing Letters,"19 Feb 2016","2016","23","2","C1","C1","Presents the front cover for this issue of the publication.","1558-2361","","10.1109/LSP.2016.2531923","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7414577","","","","","","","IEEE","19 Feb 2016","","","IEEE","IEEE Journals"
"IEEE Signal Processing Letters publication information","",,IEEE Signal Processing Letters,"19 Feb 2016","2016","23","2","C2","C2","Provides a listing of the editors, board members, and current staff for this issue of the publication.","1558-2361","","10.1109/LSP.2016.2531780","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7414590","","","","","","","IEEE","19 Feb 2016","","","IEEE","IEEE Journals"
"Table of Contents","",,IEEE Signal Processing Letters,"11 Feb 2016","2016","23","2","183","184","Presents the cover/table of contents for this issue of the periodical.","1558-2361","","10.1109/LSP.2016.2524879","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7404072","","","","","","","IEEE","11 Feb 2016","","","IEEE","IEEE Journals"
"Table of Contents","",,IEEE Signal Processing Letters,"11 Feb 2016","2016","23","2","185","186","Presents the cover/table of contents for this issue of the periodical.","1558-2361","","10.1109/LSP.2016.2524880","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7404067","","","","","","","IEEE","11 Feb 2016","","","IEEE","IEEE Journals"
"Dictionary Learning for Blind One Bit Compressed Sensing","H. Zayyani; M. Korki; F. Marvasti","Department of Electrical and Computer Engineering, Qom University of Technology, Qom, Iran; Department of Telecommunications, Electrical, Robotics and Biomedical Engineering, Swinburne University of Technology, Hawthorn, Australia; Department of Electrical Engineering, Sharif University of Technology, Tehran, Iran",IEEE Signal Processing Letters,"21 Dec 2015","2016","23","2","187","191","This letter proposes a dictionary learning algorithm for blind one bit compressed sensing. In the blind one bit compressed sensing framework, the original signal to be reconstructed from one bit linear random measurements is sparse in an unknown domain. In this context, the multiplication of measurement matrix A and sparse domain matrix Φ, i.e., D = AΦ, should be learned. Hence, we use dictionary learning to train this matrix. Towards that end, an appropriate continuous convex cost function is suggested for one bit compressed sensing and a simple steepest-descent method is exploited to learn the rows of the matrix D. Experimental results show the effectiveness of the proposed algorithm against the case of no dictionary learning, specially with increasing the number of training signals and the number of sign measurements.","1558-2361","","10.1109/LSP.2015.2503804","Iran National elite; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7337377","Compressed sensing;dictionary learning;one bit measurements;steepest-descent","Signal processing algorithms;Compressed sensing;Sparse matrices;Biomedical measurement;Noise measurement","","33","","23","IEEE","25 Nov 2015","","","IEEE","IEEE Journals"
"High Resolution Direct Position Determination of Radio Frequency Sources","T. Tirer; A. J. Weiss","School of Electrical Engineering, Tel Aviv University, Tel Aviv, Israel; School of Electrical Engineering, Tel Aviv University, Tel Aviv, Israel",IEEE Signal Processing Letters,"21 Dec 2015","2016","23","2","192","196","The most common methods for localization of radio frequency transmitters are based on two processing steps. In the first step, parameters such as angle of arrival or time of arrival are estimated at each base station independently. In the second step, the estimated parameters are used to determine the location of the transmitters. The direct position determination approach advocates using the observations from all the base stations together in order to estimate the locations in a single step. This single-step method is known to outperform two-step methods when the signal-to-noise ratio is low. In this paper, we propose a direct-position-determination-based method for localization of multiple emitters that transmit unknown signals. The method does not require knowledge of the number of emitters. It is based on minimum-variance-distortionless-response considerations to achieve a high resolution estimator that requires only a two-dimensional search for planar geometry, and a three-dimensional search for the general case.","1558-2361","","10.1109/LSP.2015.2503921","Israel Science Foundation(grant numbers:503/15,965/15); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7337378","Array processing;direct position determination;emitter localization;maximum likelihood;minimum variance distortionless response (MVDR);multiple signal classification (MUSIC)","Direct position determination;Maximum likelihood estimation;Transmitters;Signal resolution;Signal to noise ratio;Multiple signal classification ","","122","","10","IEEE","25 Nov 2015","","","IEEE","IEEE Journals"
"Clustering Steganographic Modification Directions for Color Components","W. Tang; B. Li; W. Luo; J. Huang","School of Information Science and Technology, Sun Yat-sen University, Guangzhou, China; College of Information Engineering, Shenzhen University, Shenzhen, China; School of Software, Sun Yat-sen University, Guangzhou, China; College of Information Engineering, Shenzhen University, Shenzhen, China",IEEE Signal Processing Letters,"21 Dec 2015","2016","23","2","197","201","It is conventionally assumed that steganographic schemes for gray-scale images can be directly applied to color images by embedding messages independently in different color channels. However, the correlation among color channels may be disturbed and it is unclear how to preserve the channel correlation so as to increase empirical security. In this paper, we propose a strategy called CMD-C (clustering modification directions for color components). The basic idea of the strategy is to change different color components from the same pixel location towards a positive or negative direction consistently. To implement the strategy, we decompose an image into several sub-images in which segmented hidden message bits are successively embedded. The embedding costs of a sub-image are computed by considering the correlation both within and among color channels. Experimental results show that the proposed CMD-C strategy has made great improvement over conventional methods in resisting state-of-the-art steganalytic methods.","1558-2361","","10.1109/LSP.2015.2504583","Natural Science Foundation of China(grant numbers:61572329,61402295,61332012,U1135001); NSF(grant numbers:2014A030313557); Shenzhen R and D Program(grant numbers:GJHZ20140418191518323); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7342902","Color channel correlation;modification direction;steganalysis;steganography","Image color analysis;Correlation;Color;Security;Customer relationship management;Gray-scale;Feature extraction","","30","","18","IEEE","1 Dec 2015","","","IEEE","IEEE Journals"
"Two-Band Radial Postfiltering in Cepstral Domain with Application to Speech Synthesis","D. Erro","IKERBASQUE, Bilbao, Spain",IEEE Signal Processing Letters,"21 Dec 2015","2016","23","2","202","206","Postfiltering is a well known technique that helps increasing the quality of coded speech, enhancing speech intelligibility or alleviating the oversmoothing effect of statistical speech processing methods. This letter presents a new formulation of the radial cepstral postfiltering method that enables the application of different postfiltering factors to low and high frequencies. The transition between bands will be smooth and controllable through an adjustable cut-off frequency. The proposed algorithm can be implemented by means of a simple multiplicative matrix of which an analytical expression is derived. The new method provides a flexible framework to tackle issues related to the quality and intelligibility of synthetic speech.","1558-2361","","10.1109/LSP.2015.2504785","Spanish Ministry of Economy and Competitiveness(grant numbers:TEC2012-38939-C03-03); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7342898","Cepstral coefficients;postfiltering;speech enhancement;statistical parametric speech synthesis","Cepstral analysis;Speech;Speech enhancement;Cutoff frequency;Speech synthesis;Speech coding","","","","25","IEEE","1 Dec 2015","","","IEEE","IEEE Journals"
"Gauss-Legendre Sampling on the Rotation Group","Z. Khalid; S. Durrani; R. A. Kennedy; Y. Wiaux; J. D. McEwen","School of Science and Engineering, Lahore University of Management Sciences, Lahore, Pakistan; College of Engineering and Computer Science, Australian National University, Canberra, ACT, Australia; College of Engineering and Computer Science, Australian National University, Canberra, ACT, Australia; Institute of Sensors, Signals & Systems, Heriot-Watt University, Edinburgh, UK; University College London, Mullard Space Science Laboratory, London, Surrey, United Kingdom",IEEE Signal Processing Letters,"21 Dec 2015","2016","23","2","207","211","We propose a Gauss-Legendre quadrature based sampling on the rotation group for the representation of a band-limited signal such that the Fourier transform (FT) of a signal can be exactly computed from its samples. Our figure of merit is the sampling efficiency, which is defined as a ratio of the degrees of freedom required to represent a band-limited signal in harmonic domain to the number of samples required to accurately compute the FT. The proposed sampling scheme is asymptotically as efficient as the most efficient scheme developed very recently. For the computation of FT and inverse FT, we also develop fast algorithms of complexity similar to the complexity attained by the fast algorithms for the existing sampling schemes. The developed algorithms are stable, accurate and do not have any pre-computation requirements. We also analyse the computation time and numerical accuracy of the proposed algorithms and show, through numerical experiments, that the proposed Fourier transforms are accurate with errors on the order of numerical precision.","1558-2361","","10.1109/LSP.2015.2503295","Australian Research Councils(grant numbers:DP150101011); Engineering and Physical Sciences Research Council(grant numbers:EP/M011852/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7336509","Band-limited signals;SO(3);Fourier transform;rotation group;sampling","Signal processing algorithms;Complexity theory;Fourier transforms;Algorithm design and analysis;Accuracy;Harmonic analysis;Polynomials","","6","","25","IEEE","24 Nov 2015","","","IEEE","IEEE Journals"
"ACE–An Effective Anti-forensic Contrast Enhancement Technique","H. Ravi; A. V. Subramanyam; S. Emmanuel","Electronics and Communications Engineering department, Indraprastha Institute of Information Technology, Delhi, India; Electronics and Communications Engineering department, Indraprastha Institute of Information Technology, Delhi, India; Computer Science department, Kuwait University, Kuwait",IEEE Signal Processing Letters,"22 Dec 2015","2016","23","2","212","216","Detecting Contrast Enhancement (CE) in images and anti-forensic approaches against such detectors have gained much attention in multimedia forensics lately. Several contrast enhancement detectors analyze the first order statistics such as gray-level histogram of images to determine whether an image is CE or not. In order to counter these detectors various anti-forensic techniques have been proposed. This led to a technique that utilized second order statistics of images for CE detection. In this letter, we propose an effective anti-forensic approach that performs CE without significant distortion in both the first and second order statistics of the enhanced image. We formulate an optimization problem using a variant of the well known Total Variation (TV) norm image restoration formulation. Experiments show that the algorithm effectively overcomes the first and second order statistics based detectors without loss in quality of the enhanced image.","1558-2361","","10.1109/LSP.2015.2509477","Department of Electronics and Information Technology Ministry of Communications and Information Technology(grant numbers:12(4)/2014-ESD); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7359180","Anti-forensics;contrast enhancement;convex optimization;second order statistics","Histograms;Detectors;Signal processing algorithms;TV;Forensics;Optimization;Contrast enhancement;Second order statistics","","33","","24","IEEE","17 Dec 2015","","","IEEE","IEEE Journals"
